config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,13.0,0.21068961063679292,15.0,3.0,True,1.974531888961792,,1750971286.0591002,1750971284.043526,0.0,1.974531888961792,-120996.0,120996.0,13.0,B100k_L600_D28.txt,0.21068961063679292,15.0,1.974531888961792,3.0
10,complete,20.0,0.31363354275450317,61.0,8.0,True,84.6565911769867,,1750971728.9744992,1750971644.2668834,357.6675429344177,84.6565911769867,-120996.0,120996.0,20.0,B100k_L600_D28.txt,0.31363354275450317,61.0,84.6565911769867,8.0
2,complete,9.0,0.19325443802637113,63.0,5.0,True,8.363922834396362,,1750971296.050841,1750971287.6388962,1.974531888961792,8.363922834396362,-120996.0,120996.0,9.0,B100k_L600_D28.txt,0.19325443802637113,63.0,8.363922834396362,5.0
3,complete,30.0,0.4638968974383652,98.0,14.0,True,83.04142951965332,,1750971379.1703765,1750971296.100833,10.338454723358154,83.04142951965332,-120996.0,120996.0,30.0,B100k_L600_D28.txt,0.4638968974383652,98.0,83.04142951965332,14.0
4,complete,21.0,0.18557172681563125,85.0,0.0,True,23.20063042640686,,1750971402.399975,1750971379.1872044,93.37988424301147,23.20063042640686,-120996.0,120996.0,21.0,B100k_L600_D28.txt,0.18557172681563125,85.0,23.20063042640686,0.0
5,complete,36.0,0.40701161910884737,25.0,12.0,True,17.391621828079224,,1750971419.8491366,1750971402.434267,116.58051466941833,17.391621828079224,-120996.0,120996.0,36.0,B100k_L600_D28.txt,0.40701161910884737,25.0,17.391621828079224,12.0
6,complete,24.0,0.36589943113540224,36.0,9.0,True,20.737974643707275,,1750971440.6164627,1750971419.8665853,133.97213649749756,20.737974643707275,-120996.0,120996.0,24.0,B100k_L600_D28.txt,0.36589943113540224,36.0,20.737974643707275,9.0
7,complete,19.0,0.3105652956623836,45.0,12.0,True,53.30964636802673,,1750971493.983805,1750971440.6501346,154.71011114120483,53.30964636802673,-120996.0,120996.0,19.0,B100k_L600_D28.txt,0.3105652956623836,45.0,53.30964636802673,12.0
8,complete,15.0,0.3844676691603719,88.0,4.0,True,119.8144142627716,,1750971614.02664,1750971494.1709054,208.01975750923157,119.8144142627716,-120996.0,120996.0,15.0,B100k_L600_D28.txt,0.3844676691603719,88.0,119.8144142627716,4.0
9,complete,19.0,0.3322688981155693,22.0,9.0,True,29.83337116241455,,1750971644.1399019,1750971614.2166436,327.8341717720032,29.83337116241455,-120996.0,120996.0,19.0,B100k_L600_D28.txt,0.3322688981155693,22.0,29.83337116241455,9.0
