config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,33.0,0.23111215449608813,64.0,2.0,True,189.62251567840576,,1751008879.0503845,1751008689.4033005,0.0,189.62251567840576,-647327.0,647327.0,33.0,B2.5k_L25_D50.txt,0.23111215449608813,64.0,189.62251567840576,2.0
10,complete,2.0,0.4437536270739192,22.0,0.0,True,6.8086159229278564,,1751023007.4780035,1751023000.6285672,14310.273216724396,6.8086159229278564,-647327.0,647327.0,2.0,B2.5k_L25_D50.txt,0.4437536270739192,22.0,6.8086159229278564,0.0
2,complete,17.0,0.43229316434715626,23.0,11.0,True,3083.7241439819336,,1751011963.1615994,1751008879.4275532,189.62251567840576,3083.7241439819336,-647327.0,647327.0,17.0,B2.5k_L25_D50.txt,0.43229316434715626,23.0,3083.7241439819336,11.0
3,complete,2.0,0.09090486524380002,27.0,13.0,True,2.4800312519073486,,1751011965.665639,1751011963.1766057,3273.3466596603394,2.4800312519073486,-647327.0,647327.0,2.0,B2.5k_L25_D50.txt,0.09090486524380002,27.0,2.4800312519073486,13.0
4,complete,3.0,0.3939505492104271,81.0,15.0,True,38.079848766326904,,1751012003.7906628,1751011965.6906397,3275.8266909122467,38.079848766326904,-647327.0,647327.0,3.0,B2.5k_L25_D50.txt,0.3939505492104271,81.0,38.079848766326904,15.0
5,complete,16.0,0.38558595602114115,43.0,13.0,True,94.95433926582336,,1751012098.8049204,1751012003.83365,3313.9065396785736,94.95433926582336,-647327.0,647327.0,16.0,B2.5k_L25_D50.txt,0.38558595602114115,43.0,94.95433926582336,13.0
6,complete,32.0,0.051182931022463726,60.0,3.0,True,28.254197359085083,,1751012127.091417,1751012098.8248658,3408.860878944397,28.254197359085083,-647327.0,647327.0,32.0,B2.5k_L25_D50.txt,0.051182931022463726,60.0,28.254197359085083,3.0
7,complete,32.0,0.28819951069020366,42.0,2.0,True,6428.122326850891,,1751018555.2539017,1751012127.1151106,3437.115076303482,6428.122326850891,-647327.0,647327.0,32.0,B2.5k_L25_D50.txt,0.28819951069020366,42.0,6428.122326850891,2.0
8,complete,1.0,0.26917790829118377,78.0,12.0,True,17.488983392715454,,1751018572.8536806,1751018555.335887,9865.237403154373,17.488983392715454,-647327.0,647327.0,1.0,B2.5k_L25_D50.txt,0.26917790829118377,78.0,17.488983392715454,12.0
9,complete,39.0,0.3057751652559227,41.0,5.0,True,4427.546830177307,,1751023000.54077,1751018572.935328,9882.726386547089,4427.546830177307,-647327.0,647327.0,39.0,B2.5k_L25_D50.txt,0.3057751652559227,41.0,4427.546830177307,5.0
