config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,34.0,0.39784072316861624,37.0,6.0,True,23.85183835029602,,1750411226.2785554,1750411202.4036887,0.0,23.85183835029602,-78464.0,78464.0,34.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.39784072316861624,37.0,23.85183835029602,6.0
7,complete,66.0,0.6973114300553103,133.0,18.0,True,257.20204186439514,,1750412774.9878662,1750412517.7635825,1314.639024734497,257.20204186439514,-78464.0,78464.0,66.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.6973114300553103,133.0,257.20204186439514,18.0
6,complete,47.0,0.6385020126280118,406.0,6.0,True,469.3489077091217,,1750412517.7245724,1750412048.3696759,845.2901170253754,469.3489077091217,-78464.0,78464.0,47.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.6385020126280118,406.0,469.3489077091217,6.0
5,complete,19.0,0.36314610382938733,396.0,7.0,True,102.42798042297363,,1750412048.356486,1750411945.9205055,742.8621366024017,102.42798042297363,-78464.0,78464.0,19.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.36314610382938733,396.0,102.42798042297363,7.0
4,complete,65.0,0.4138599208239479,244.0,20.0,True,251.11309623718262,,1750411945.907523,1750411694.7844498,491.7490403652191,251.11309623718262,-78464.0,78464.0,65.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.4138599208239479,244.0,251.11309623718262,20.0
3,complete,43.0,0.6129776980455317,442.0,11.0,True,437.67109966278076,,1750411694.7704296,1750411257.0902824,54.077940702438354,437.67109966278076,-78464.0,78464.0,43.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.6129776980455317,442.0,437.67109966278076,11.0
20,complete,16.0,0.10962315975274564,78.0,20.0,True,9.132911205291748,,1750416208.2549093,1750416199.1156354,4991.783359050751,9.132911205291748,-78464.0,78464.0,16.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.10962315975274564,78.0,9.132911205291748,20.0
2,complete,62.0,0.3028948200017826,35.0,17.0,True,30.226102352142334,,1750411257.075215,1750411226.8375273,23.85183835029602,30.226102352142334,-78464.0,78464.0,62.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.3028948200017826,35.0,30.226102352142334,17.0
19,complete,66.0,0.7675065388355158,500.0,20.0,True,1071.8920857906342,,1750416199.0026588,1750415127.0999157,3919.8912732601166,1071.8920857906342,-78464.0,78464.0,66.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.7675065388355158,500.0,1071.8920857906342,20.0
18,complete,97.0,0.16876103029294054,474.0,8.0,True,344.545040845871,,1750415126.8953652,1750414782.3423238,3575.3462324142456,344.545040845871,-78464.0,78464.0,97.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.16876103029294054,474.0,344.545040845871,8.0
17,complete,13.0,0.7521015813850952,87.0,1.0,True,36.5649847984314,,1750414782.2202182,1750414745.6471317,3538.781247615814,36.5649847984314,-78464.0,78464.0,13.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.7521015813850952,87.0,36.5649847984314,1.0
16,complete,27.0,0.0142123370883082,42.0,7.0,True,1.5476255416870117,,1750414745.533291,1750414743.9759061,3537.233622074127,1.5476255416870117,-78464.0,78464.0,27.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.0142123370883082,42.0,1.5476255416870117,7.0
15,complete,96.0,0.7919110544114754,93.0,3.0,True,292.4043002128601,,1750414743.857606,1750414451.4409897,3244.829321861267,292.4043002128601,-78464.0,78464.0,96.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.7919110544114754,93.0,292.4043002128601,3.0
14,complete,95.0,0.2703564449500608,443.0,20.0,True,495.79631209373474,,1750414451.327856,1750413955.5180628,2749.0330097675323,495.79631209373474,-78464.0,78464.0,95.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.2703564449500608,443.0,495.79631209373474,20.0
13,complete,12.0,0.6138849286581655,42.0,19.0,True,16.31409192085266,,1750413955.3757107,1750413939.0166328,2732.7189178466797,16.31409192085266,-78464.0,78464.0,12.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.6138849286581655,42.0,16.31409192085266,19.0
12,complete,50.0,0.09117691714348167,460.0,0.0,True,86.61685347557068,,1750413938.838609,1750413852.2097476,2646.102064371109,86.61685347557068,-78464.0,78464.0,50.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.09117691714348167,460.0,86.61685347557068,0.0
11,complete,100.0,0.06297234680539252,40.0,3.0,True,11.074063539505005,,1750413852.0702586,1750413840.9866838,2635.028000831604,11.074063539505005,-78464.0,78464.0,100.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.06297234680539252,40.0,11.074063539505005,3.0
10,complete,26.0,0.3572519788413181,183.0,13.0,True,78.86948466300964,,1750413838.2596452,1750413759.3811214,2556.1585161685944,78.86948466300964,-78464.0,78464.0,26.0,B2.5k_L3_D90 (Appalachian Regional Project).txt,0.3572519788413181,183.0,78.86948466300964,13.0
