config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,35.0,0.0944912611524333,83.0,0.0,True,1.2235908508300781,,1751061551.1584675,1751061549.9171925,0.0,1.2235908508300781,-533.0,533.0,35.0,B50_L5_D4.txt,0.0944912611524333,83.0,1.2235908508300781,0.0
10,complete,19.0,0.13841412100309694,77.0,5.0,True,0.9626321792602539,,1751061557.9003658,1751061556.9287317,6.4091408252716064,0.9626321792602539,-533.0,533.0,19.0,B50_L5_D4.txt,0.13841412100309694,77.0,0.9626321792602539,5.0
2,complete,32.0,0.38629157257345875,63.0,10.0,True,3.346094846725464,,1751061554.8820353,1751061551.5270066,1.2235908508300781,3.346094846725464,-533.0,533.0,32.0,B50_L5_D4.txt,0.38629157257345875,63.0,3.346094846725464,10.0
3,complete,6.0,0.23175877302438347,33.0,3.0,True,0.18039298057556152,,1751061555.0958772,1751061554.8951313,4.569685697555542,0.18039298057556152,-533.0,533.0,6.0,B50_L5_D4.txt,0.23175877302438347,33.0,0.18039298057556152,3.0
4,complete,3.0,0.31929803782893507,60.0,5.0,True,0.2780618667602539,,1751061555.3952558,1751061555.1072936,4.7500786781311035,0.2780618667602539,-533.0,533.0,3.0,B50_L5_D4.txt,0.31929803782893507,60.0,0.2780618667602539,5.0
5,complete,18.0,0.07888676664766352,35.0,14.0,True,0.22375154495239258,,1751061555.6402037,1751061555.4083078,5.028140544891357,0.22375154495239258,-533.0,533.0,18.0,B50_L5_D4.txt,0.07888676664766352,35.0,0.22375154495239258,14.0
6,complete,0.0,0.2884446108802325,75.0,0.0,True,0.051247358322143555,,1751061555.714617,1751061555.6553693,5.25189208984375,0.051247358322143555,-533.0,533.0,0.0,B50_L5_D4.txt,0.2884446108802325,75.0,0.051247358322143555,0.0
7,complete,18.0,0.08909379292489668,54.0,7.0,True,0.48604512214660645,,1751061556.223398,1751061555.729362,5.3031394481658936,0.48604512214660645,-533.0,533.0,18.0,B50_L5_D4.txt,0.08909379292489668,54.0,0.48604512214660645,7.0
8,complete,36.0,0.45356028898394607,10.0,6.0,True,0.5203819274902344,,1751061556.7796817,1751061556.2483974,5.7891845703125,0.5203819274902344,-533.0,533.0,36.0,B50_L5_D4.txt,0.45356028898394607,10.0,0.5203819274902344,6.0
9,complete,4.0,0.34597600485147306,15.0,3.0,True,0.09957432746887207,,1751061556.9046998,1751061556.7950964,6.309566497802734,0.09957432746887207,-533.0,533.0,4.0,B50_L5_D4.txt,0.34597600485147306,15.0,0.09957432746887207,3.0
