config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
3,complete,10.0,0.14456424550548952,12.0,15.0,True,0.9395155906677246,,1751229363.4592488,1751229362.50472,39.574952602386475,0.9395155906677246,-120021.0,120021.0,10.0,B50k_L400_D28.txt,0.14456424550548952,12.0,0.9395155906677246,15.0
2,complete,10.0,0.4492359400058096,28.0,2.0,True,18.648662567138672,,1751229362.4597428,1751229343.7581103,20.926290035247803,18.648662567138672,-116325.0,116325.0,10.0,B50k_L400_D28.txt,0.4492359400058096,28.0,18.648662567138672,2.0
5,complete,39.0,0.43605240884158325,48.0,13.0,True,60.513747692108154,,1751229474.3407798,1751229413.7989419,90.755300283432,60.513747692108154,-116325.0,116325.0,39.0,B50k_L400_D28.txt,0.43605240884158325,48.0,60.513747692108154,13.0
10,complete,29.0,0.4854111420258925,31.0,4.0,True,211.0219328403473,,1751230356.486544,1751230145.4236236,821.8235733509064,211.0219328403473,-115504.0,115504.0,29.0,B50k_L400_D28.txt,0.4854111420258925,31.0,211.0219328403473,4.0
6,complete,33.0,0.3905245739676193,34.0,11.0,True,29.445452213287354,,1751229503.809816,1751229474.3551755,151.26904797554016,29.445452213287354,-114698.0,114698.0,33.0,B50k_L400_D28.txt,0.3905245739676193,34.0,29.445452213287354,11.0
8,complete,15.0,0.023920583509035254,92.0,3.0,True,16.03772211074829,,1751229701.0487719,1751229684.9700217,361.67808198928833,16.03772211074829,-114698.0,114698.0,15.0,B50k_L400_D28.txt,0.023920583509035254,92.0,16.03772211074829,3.0
4,complete,15.0,0.3804545138140733,98.0,4.0,True,50.24083209037781,,1751229413.7370815,1751229363.4818897,40.5144681930542,50.24083209037781,-113868.0,113868.0,15.0,B50k_L400_D28.txt,0.3804545138140733,98.0,50.24083209037781,4.0
1,complete,22.0,0.14030075157160427,19.0,10.0,True,20.926290035247803,,1751229342.6597166,1751229321.6766098,0.0,20.926290035247803,-112522.0,112522.0,22.0,B50k_L400_D28.txt,0.14030075157160427,19.0,20.926290035247803,10.0
7,complete,31.0,0.23248634383136071,97.0,6.0,True,180.96358180046082,,1751229684.8160298,1751229503.838183,180.71450018882751,180.96358180046082,-112522.0,112522.0,31.0,B50k_L400_D28.txt,0.23248634383136071,97.0,180.96358180046082,6.0
9,complete,34.0,0.3581782421569688,81.0,14.0,True,444.10776925086975,,1751230145.2856193,1751229701.1337483,377.7158041000366,444.10776925086975,-112522.0,112522.0,34.0,B50k_L400_D28.txt,0.3581782421569688,81.0,444.10776925086975,14.0
