config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,16.0,0.038891052954498094,79.0,3.0,True,1.3892133235931396,,1750978128.647423,1750978127.2388167,0.0,1.3892133235931396,-65520.0,65520.0,16.0,B750_L20_D14.txt,0.038891052954498094,79.0,1.3892133235931396,3.0
10,complete,38.0,0.4895333326584102,29.0,15.0,True,14.46493124961853,,1750978211.9566147,1750978197.4646974,69.39693260192871,14.46493124961853,-65520.0,65520.0,38.0,B750_L20_D14.txt,0.4895333326584102,29.0,14.46493124961853,15.0
2,complete,25.0,0.29646343793915914,91.0,1.0,True,18.851465225219727,,1750978148.0351012,1750978129.1716428,1.3892133235931396,18.851465225219727,-65520.0,65520.0,25.0,B750_L20_D14.txt,0.29646343793915914,91.0,18.851465225219727,1.0
3,complete,32.0,0.17734527144116985,59.0,10.0,True,7.6250221729278564,,1750978155.684914,1750978148.049889,20.240678548812866,7.6250221729278564,-65520.0,65520.0,32.0,B750_L20_D14.txt,0.17734527144116985,59.0,7.6250221729278564,10.0
4,complete,40.0,0.2918885299387892,69.0,11.0,True,20.685784339904785,,1750978176.3955104,1750978155.6994905,27.865700721740723,20.685784339904785,-65520.0,65520.0,40.0,B750_L20_D14.txt,0.2918885299387892,69.0,20.685784339904785,11.0
5,complete,21.0,0.34207369808832716,12.0,6.0,True,1.5957109928131104,,1750978178.0310295,1750978176.4217985,48.55148506164551,1.5957109928131104,-65520.0,65520.0,21.0,B750_L20_D14.txt,0.34207369808832716,12.0,1.5957109928131104,6.0
6,complete,18.0,0.4191370964929622,91.0,13.0,True,17.110520601272583,,1750978195.1979303,1750978178.0764384,50.14719605445862,17.110520601272583,-65520.0,65520.0,18.0,B750_L20_D14.txt,0.4191370964929622,91.0,17.110520601272583,13.0
7,complete,1.0,0.35583690900383785,94.0,14.0,True,1.0194365978240967,,1750978196.246683,1750978195.2179387,67.2577166557312,1.0194365978240967,-65520.0,65520.0,1.0,B750_L20_D14.txt,0.35583690900383785,94.0,1.0194365978240967,14.0
8,complete,13.0,0.013542971734346846,13.0,4.0,True,0.05401420593261719,,1750978196.3281372,1750978196.26461,68.2771532535553,0.05401420593261719,-65520.0,65520.0,13.0,B750_L20_D14.txt,0.013542971734346846,13.0,0.05401420593261719,4.0
9,complete,6.0,0.3555745603349283,25.0,4.0,True,1.065765142440796,,1750978197.4269075,1750978196.3491268,68.33116745948792,1.065765142440796,-65520.0,65520.0,6.0,B750_L20_D14.txt,0.3555745603349283,25.0,1.065765142440796,4.0
