config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,23.0,0.022561778276897523,58.0,11.0,True,0.5410878658294678,,1751319450.6475847,1751319450.0833387,0.0,0.5410878658294678,-869.0,869.0,23.0,B90k_L850_D21.txt,0.022561778276897523,58.0,0.5410878658294678,11.0
10,complete,6.0,0.14599065912401232,99.0,3.0,True,1.4845116138458252,,1751319517.921875,1751319516.421371,65.54938411712646,1.4845116138458252,-869.0,869.0,6.0,B90k_L850_D21.txt,0.14599065912401232,99.0,1.4845116138458252,3.0
2,complete,13.0,0.23800604115439256,35.0,3.0,True,2.3112430572509766,,1751319453.3261814,1751319451.0040293,0.5410878658294678,2.3112430572509766,-869.0,869.0,13.0,B90k_L850_D21.txt,0.23800604115439256,35.0,2.3112430572509766,3.0
3,complete,30.0,0.3612513559569343,94.0,10.0,True,17.95795226097107,,1751319471.3372002,1751319453.3522296,2.8523309230804443,17.95795226097107,-869.0,869.0,30.0,B90k_L850_D21.txt,0.3612513559569343,94.0,17.95795226097107,10.0
4,complete,9.0,0.33163118388830276,41.0,7.0,True,2.619288682937622,,1751319473.9945006,1751319471.3551996,20.810283184051514,2.619288682937622,-869.0,869.0,9.0,B90k_L850_D21.txt,0.33163118388830276,41.0,2.619288682937622,7.0
5,complete,29.0,0.2499628333175146,55.0,14.0,True,7.495384216308594,,1751319481.5788822,1751319474.0644956,23.429571866989136,7.495384216308594,-869.0,869.0,29.0,B90k_L850_D21.txt,0.2499628333175146,55.0,7.495384216308594,14.0
6,complete,34.0,0.03343860273374691,67.0,6.0,True,2.05134654045105,,1751319483.662228,1751319481.5978947,30.92495608329773,2.05134654045105,-869.0,869.0,34.0,B90k_L850_D21.txt,0.03343860273374691,67.0,2.05134654045105,6.0
7,complete,15.0,0.44376513998504713,24.0,14.0,True,3.778623580932617,,1751319487.4808605,1751319483.6852305,32.97630262374878,3.778623580932617,-869.0,869.0,15.0,B90k_L850_D21.txt,0.44376513998504713,24.0,3.778623580932617,14.0
8,complete,31.0,0.4150661923215394,88.0,11.0,True,28.099200963974,,1751319515.6560879,1751319487.540858,36.7549262046814,28.099200963974,-869.0,869.0,31.0,B90k_L850_D21.txt,0.4150661923215394,88.0,28.099200963974,11.0
9,complete,35.0,0.013069293351423207,97.0,9.0,True,0.6952569484710693,,1751319516.3983595,1751319515.6850867,64.8541271686554,0.6952569484710693,-869.0,869.0,35.0,B90k_L850_D21.txt,0.013069293351423207,97.0,0.6952569484710693,9.0
