config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,36.0,0.1973032507761924,95.0,9.0,True,3.454185962677002,,1750972865.0351462,1750972861.5279415,0.0,3.454185962677002,-4438.0,4438.0,36.0,B99_L7_D16.txt,0.1973032507761924,95.0,3.454185962677002,9.0
10,complete,24.0,0.4733380785269887,53.0,7.0,True,4.727963447570801,,1750972880.1343668,1750972875.366365,12.475443363189697,4.727963447570801,-4438.0,4438.0,24.0,B99_L7_D16.txt,0.4733380785269887,53.0,4.727963447570801,7.0
2,complete,17.0,0.06768882872211421,52.0,4.0,True,0.6301441192626953,,1750972866.475466,1750972865.809333,3.454185962677002,0.6301441192626953,-4438.0,4438.0,17.0,B99_L7_D16.txt,0.06768882872211421,52.0,0.6301441192626953,4.0
3,complete,17.0,0.04734235656859011,15.0,3.0,True,0.09500932693481445,,1750972866.623112,1750972866.4911907,4.084330081939697,0.09500932693481445,-4438.0,4438.0,17.0,B99_L7_D16.txt,0.04734235656859011,15.0,0.09500932693481445,3.0
4,complete,12.0,0.25474066522222993,92.0,11.0,True,2.146177291870117,,1750972868.8432896,1750972866.6761243,4.179339408874512,2.146177291870117,-4438.0,4438.0,12.0,B99_L7_D16.txt,0.25474066522222993,92.0,2.146177291870117,11.0
5,complete,6.0,0.46153828219101295,96.0,0.0,True,2.294384479522705,,1750972871.2213917,1750972868.8907094,6.325516700744629,2.294384479522705,-4438.0,4438.0,6.0,B99_L7_D16.txt,0.46153828219101295,96.0,2.294384479522705,0.0
6,complete,28.0,0.07764176529442444,41.0,1.0,True,0.43721461296081543,,1750972871.6905868,1750972871.2413363,8.619901180267334,0.43721461296081543,-4438.0,4438.0,28.0,B99_L7_D16.txt,0.07764176529442444,41.0,0.43721461296081543,1.0
7,complete,35.0,0.0862413929454674,69.0,8.0,True,1.2846267223358154,,1750972873.0638998,1750972871.754282,9.05711579322815,1.2846267223358154,-4438.0,4438.0,35.0,B99_L7_D16.txt,0.0862413929454674,69.0,1.2846267223358154,8.0
8,complete,25.0,0.2583863784317336,49.0,6.0,True,1.7668914794921875,,1750972874.8619637,1750972873.0838778,10.341742515563965,1.7668914794921875,-4438.0,4438.0,25.0,B99_L7_D16.txt,0.2583863784317336,49.0,1.7668914794921875,6.0
9,complete,8.0,0.12886380721472798,53.0,13.0,True,0.3668093681335449,,1750972875.343084,1750972874.940085,12.108633995056152,0.3668093681335449,-4438.0,4438.0,8.0,B99_L7_D16.txt,0.12886380721472798,53.0,0.3668093681335449,13.0
